,context1,context2,label
83,"If the telephone rang, it could ring itself silly.",Is the grammar of this sentence incorrect ?,0
84,She yelled hoarse.,Is the grammar of this sentence correct ?,0
85,Ted cried to sleep.,Is the grammar of this sentence correct ?,0
86,The tiger bled to death.,Is the grammar of this sentence correct ?,1
87,"He coughed awake and we were all overjoyed, especially Sierra.",Is the grammar of this sentence incorrect ?,0
88,"John coughed awake, rubbing his nose and cursing under his breath.",Is the grammar of this sentence correct ?,1
89,John coughed himself awake on the bank of the lake where he and Bill had their play.,Is the grammar of this sentence correct ?,1
90,Ron yawned himself awake.,Is the grammar of this sentence correct ?,1
91,She coughed herself awake as the leaf landed on her nose.,Is the grammar of this sentence correct ?,1
92,The worm wriggled onto the carpet.,Is the grammar of this sentence correct ?,1
93,The chocolate melted onto the carpet.,Is the grammar of this sentence correct ?,1
94,The ball wriggled itself loose.,Is the grammar of this sentence correct ?,0
95,Bill wriggled himself loose.,Is the grammar of this sentence incorrect ?,0
96,Aliza wriggled her tooth loose.,Is the grammar of this sentence incorrect ?,0
97,The off center spinning flywheel shook itself loose.,Is the grammar of this sentence correct ?,1
98,"The more you eat, the less you want.",Is the grammar of this sentence incorrect ?,0
99,"If you eat more, you want correspondingly less.",Is the grammar of this sentence correct ?,1
100,"When you eat more, you want correspondingly less.",Is the grammar of this sentence incorrect ?,0
101,"As you eat more, you want correspondingly less.",Is the grammar of this sentence incorrect ?,0
102,"The most you want, the least you eat.",Is the grammar of this sentence incorrect ?,1
103,"The angrier Sue gets, the more Fred admires her.",Is the grammar of this sentence correct ?,1
104,"The more that you eat, the less that you want.",Is the grammar of this sentence correct ?,1
105,"The angrier that Sue gets, the more that Fred admires her.",Is the grammar of this sentence incorrect ?,0
106,"I think that the more you eat, the less you want.",Is the grammar of this sentence correct ?,1
107,"I'm not shocked by the idea that the more you eat, the less you want.",Is the grammar of this sentence correct ?,1
108,"It is obvious that the more you eat, the less you want.",Is the grammar of this sentence incorrect ?,0
109,"It is not entirely clear if the more you eat, the less you want.",Is the grammar of this sentence correct ?,1
110,"I want to explain exactly why the more you eat, the less you want.",Is the grammar of this sentence correct ?,1
111,"I demand that the more John eats, the more he pays.",Is the grammar of this sentence incorrect ?,0
112,"I demand that the more John eat, the more he pay.",Is the grammar of this sentence correct ?,0
113,"I demand that John pay more, the more he eats.",Is the grammar of this sentence incorrect ?,0
114,"I demand that John pays more, the more he eat.",Is the grammar of this sentence correct ?,0
115,"You get angrier, the more we eat, don't you.",Is the grammar of this sentence correct ?,1
116,"You get angrier, the more we eat, don't we.",Is the grammar of this sentence correct ?,0
117,"The harder it has rained, how much faster a flow that appears in the river?",Is the grammar of this sentence correct ?,0
118,"The harder it has rained, how much faster a flow appears in the river?",Is the grammar of this sentence correct ?,1
119,"The harder it rains, how much faster that do you run?",Is the grammar of this sentence correct ?,0
120,"The harder it rains, how much faster do you run?",Is the grammar of this sentence correct ?,1
121,"The harder it rains, how much faster a flow do you see in the river?",Is the grammar of this sentence correct ?,1
122,"The harder it rains, how much faster a flow that do you see in the river?",Is the grammar of this sentence incorrect ?,1
123,"When it rains harder, how much faster a flow appears in the river?",Is the grammar of this sentence correct ?,1
124,"As it rains harder, how much faster a flow appears in the river?",Is the grammar of this sentence correct ?,1
125,"As it rains harder, how much faster a flow that appears in the river?",Is the grammar of this sentence incorrect ?,1
126,"When it rains harder, how much faster a flow that appears in the river?",Is the grammar of this sentence correct ?,0
127,"How much harder has it rained, the faster a flow you see in the river?",Is the grammar of this sentence correct ?,1
128,"How much harder has it rained, when you see a faster flow in the river?",Is the grammar of this sentence incorrect ?,0
129,"The more John eats, the tighter keep your mouth shut about it.",Is the grammar of this sentence correct ?,0
130,"The more everyone eat, the more John keeps his big mouth shut about it, OK?",Is the grammar of this sentence correct ?,0
131,"When John eats more, keep your mouth shut tighter, OK?",Is the grammar of this sentence incorrect ?,0
132,"As John eats more, keep your mouth shut tighter, OK?",Is the grammar of this sentence correct ?,1
133,"Keep your mouth shut tighter, the more John eats, OK?",Is the grammar of this sentence correct ?,1
134,"Everyone keep your mouth shut tighter, the more John eats, OK?",Is the grammar of this sentence incorrect ?,0
135,"I can well imagine the more him eating, the fatter him getting.",Is the grammar of this sentence incorrect ?,1
136,Bill can well imagine getting fat.,Is the grammar of this sentence correct ?,1
137,"Bill can well imagine the more he eats, the fatter getting.",Is the grammar of this sentence correct ?,0
138,"Fred can well imagine Joe getting fatter, the more he eats.",Is the grammar of this sentence incorrect ?,0
139,"It is important the more you eat, the more careful to be.",Is the grammar of this sentence correct ?,0
140,"It is important for the more you eat, the more careful to be.",Is the grammar of this sentence incorrect ?,1
141,"It is important the more you to eat, the more careful to be.",Is the grammar of this sentence correct ?,0
142,"It is important the more you eat, the more careful you to be.",Is the grammar of this sentence incorrect ?,1
143,"It is important the more you eat, the more careful for you to be.",Is the grammar of this sentence correct ?,0
144,"It is important for the more you to eat, the more careful to be.",Is the grammar of this sentence correct ?,0
145,"It is important for the more you to eat, the more careful for you to be.",Is the grammar of this sentence correct ?,0
146,"It is important the more you to eat, the more careful for you to be.",Is the grammar of this sentence correct ?,0
147,"It is important for the more you eat, the more careful you to be.",Is the grammar of this sentence incorrect ?,1
148,"It is important for you to be more careful, the more you eat.",Is the grammar of this sentence incorrect ?,0
149,"It is important to be more careful, the more you eat.",Is the grammar of this sentence incorrect ?,0
150,I can well imagine quickly Mary answering the question.,Is the grammar of this sentence correct ?,0
151,I can well imagine with a hatchet Mary destroying the Jeep.,Is the grammar of this sentence incorrect ?,1
152,"I can well imagine if he eats more, him getting fat.",Is the grammar of this sentence incorrect ?,1
153,"It is not entirely obvious if, Mary listens to the Grateful Dead, she gets depressed.",Is the grammar of this sentence incorrect ?,1
154,"It is not entirely obvious whether, Mary listens to the Grateful Dead, she gets depressed.",Is the grammar of this sentence incorrect ?,1
155,Mary listens to the Grateful Dead and she gets depressed.,Is the grammar of this sentence incorrect ?,0
156,"If Mary listens to the Grateful Dead, she gets depressed.",Is the grammar of this sentence correct ?,1
157,"When Mary listens to the Grateful Dead, she gets depressed.",Is the grammar of this sentence correct ?,1
158,Mary gets depressed if she listens to the Grateful Dead.,Is the grammar of this sentence correct ?,1
159,Mary gets depressed when she listens to the Grateful Dead.,Is the grammar of this sentence correct ?,1
160,"The more she looked at pictures, the angrier Mary got.",Is the grammar of this sentence correct ?,1
161,"The more pictures Mary looked at, she got angrier and angrier.",Is the grammar of this sentence correct ?,0
162,Mary gets depressed and she listens to the Grateful Dead.,Is the grammar of this sentence incorrect ?,0
163,"The higher the stakes are, the lower his expectations are.",Is the grammar of this sentence incorrect ?,0
164,"The higher the stakes, the lower his expectations.",Is the grammar of this sentence correct ?,1
165,"His expectations are lower, the higher the stakes.",Is the grammar of this sentence incorrect ?,0
166,"His expectations are lower, the higher the stakes are.",Is the grammar of this sentence correct ?,1
167,"His expectations lower, the higher the stakes.",Is the grammar of this sentence correct ?,0
168,"His expectations lower, the higher the stakes are.",Is the grammar of this sentence correct ?,0
169,"The more obnoxious Fred is, the less attention you should pay to him.",Is the grammar of this sentence incorrect ?,0
170,"The more obnoxious Fred, the less attention you should pay to him.",Is the grammar of this sentence correct ?,0
171,"The more Fred is obnoxious, the less you should pay attention to him.",Is the grammar of this sentence correct ?,1
172,"The more obnoxious Fred, the less you should pay attention to him.",Is the grammar of this sentence incorrect ?,1
173,His expectations are always lower than mine.,Is the grammar of this sentence incorrect ?,0
174,John was lots more obnoxious than Fred was.,Is the grammar of this sentence correct ?,1
175,"You should always lock your door, no matter how fancy the hotel might be.",Is the grammar of this sentence incorrect ?,0
176,"You should always lock your door, no matter how fancy the hotel.",Is the grammar of this sentence correct ?,1
177,"I don't plan to lock the door, no matter how fancy this hotel is.",Is the grammar of this sentence incorrect ?,0
178,"I don't plan to lock the door, no matter how fancy this hotel.",Is the grammar of this sentence incorrect ?,1
179,"I'm going out, whatever the weather.",Is the grammar of this sentence incorrect ?,0
180,"I'm going out, wherever that hurricane might be.",Is the grammar of this sentence correct ?,1
181,"I'm going out, wherever that hurricane.",Is the grammar of this sentence correct ?,0
182,The more examples Mary says that Bill has helped Fred to discover the less I believe her.,Is the grammar of this sentence correct ?,1
183,The more food Mary knows a man that eats the poorer she gets.,Is the grammar of this sentence correct ?,0
184,The fatter he goes to a doctor when he gets the more he eats.,Is the grammar of this sentence correct ?,0
185,"The fatter that that he gets bothers him, the more he eats.",Is the grammar of this sentence correct ?,0
186,"The more books I ask to whom he will give, the more he reads.",Is the grammar of this sentence correct ?,0
187,The more people I ask what he will give to the more he reads.,Is the grammar of this sentence incorrect ?,1
188,The more carefully he words the letter the safer he'll be.,Is the grammar of this sentence correct ?,1
189,The more carefully he knows a man that worded the letter the safer he'll be.,Is the grammar of this sentence incorrect ?,1
190,"The more geniuses John meets, the angrier he gets.",Is the grammar of this sentence incorrect ?,0
191,"The more John meets geniuses, the angrier he gets.",Is the grammar of this sentence incorrect ?,1
192,"The more people you say will buy tickets, the happier I'll be.",Is the grammar of this sentence correct ?,1
193,"The more people you say that will buy tickets, the happier I'll be.",Is the grammar of this sentence incorrect ?,1
194,"The more people you say that right after the show opens will buy tickets, the happier I'll be.",Is the grammar of this sentence incorrect ?,0
195,"The more I talk to Joe, the less about linguistics I am inclined to think Sally has taught him to appreciate.",Is the grammar of this sentence incorrect ?,0
196,"The more he eats, the poorer he knows a woman that gets.",Is the grammar of this sentence correct ?,0
197,"The more he eats, the fatter he goes to a doctor when he gets.",Is the grammar of this sentence correct ?,0
198,"The more he eats, the fatter that that he gets really bothers me.",Is the grammar of this sentence correct ?,0
199,"The more he reads, the more books I wonder to whom he will give.",Is the grammar of this sentence incorrect ?,1
200,"The more he reads, the more people I wonder what he will give to.",Is the grammar of this sentence correct ?,0
201,"The sooner you call, the more carefully I know a man that will word the letter.",Is the grammar of this sentence correct ?,0
202,"The richer John gets, the more geniuses John meets.",Is the grammar of this sentence incorrect ?,0
203,"The richer he gets, the more John meets geniuses.",Is the grammar of this sentence correct ?,0
204,"The more articles he reads, the fewer people he thinks will go into linguistics.",Is the grammar of this sentence incorrect ?,0
205,"The more articles he reads, the fewer people he thinks that will go into linguistics.",Is the grammar of this sentence incorrect ?,1
206,"The more articles he reads, the fewer people he thinks that under the current circumstances will go into linguistics.",Is the grammar of this sentence correct ?,1
207,"The more articles he reads, the fewer people he thinks under the current circumstances will go into linguistics.",Is the grammar of this sentence correct ?,1
208,"The more people that arrive, the louder that it gets.",Is the grammar of this sentence correct ?,1
209,"The more people that arrive, the louder it gets.",Is the grammar of this sentence incorrect ?,0
210,"The more people you give beer to, the more people that get sick.",Is the grammar of this sentence correct ?,1
211,"The more people that you give beer to, the more people that get sick.",Is the grammar of this sentence correct ?,1
212,"The more people arrive, the louder that it gets.",Is the grammar of this sentence incorrect ?,0
213,"The more people arrive, the louder it gets.",Is the grammar of this sentence incorrect ?,0
214,"The more people that you give beer to, the more people get sick.",Is the grammar of this sentence incorrect ?,0
215,The more pictures of John that he buys the more arrogant he becomes.,Is the grammar of this sentence incorrect ?,1
216,The more pictures of himself that John buys the more arrogant he becomes.,Is the grammar of this sentence correct ?,1
217,The man that arrived on the train was my brother.,Is the grammar of this sentence correct ?,1
218,The man arrived on the train was my brother.,Is the grammar of this sentence correct ?,0
219,"The more people everyone who likes pays attention to, the happier we all are.",Is the grammar of this sentence incorrect ?,1
220,"The later it gets, the more people everyone who likes pays attention to.",Is the grammar of this sentence incorrect ?,1
221,"Whenever Bill smokes, Susan hates him all the more.",Is the grammar of this sentence incorrect ?,0
222,"Whenever Bill smokes, Susan hates him much more.",Is the grammar of this sentence correct ?,1
223,"Whenever Bill smokes, Susan hates him far more.",Is the grammar of this sentence correct ?,1
224,"Whenever Bill smokes, Susan hates him a lot more.",Is the grammar of this sentence incorrect ?,0
225,"Once Janet left, Fred became all the crazier.",Is the grammar of this sentence incorrect ?,0
226,"Once Janet left, Fred became much crazier.",Is the grammar of this sentence incorrect ?,0
227,"Once Janet left, Fred became far crazier.",Is the grammar of this sentence correct ?,1
228,"Fred became all the crazier, the more often Janet left.",Is the grammar of this sentence incorrect ?,0
229,"When Bill smokes, all the more does Susan hate him.",Is the grammar of this sentence incorrect ?,0
230,"When Bill smokes, much more does Susan hate him.",Is the grammar of this sentence incorrect ?,1
231,"When Bill smokes, all the more Susan hates him.",Is the grammar of this sentence incorrect ?,1
232,So much did you eat that everyone gasped.,Is the grammar of this sentence incorrect ?,0
233,So fast did you run that everyone gasped.,Is the grammar of this sentence correct ?,1
234,So intelligent a dog did you buy that everyone gasped.,Is the grammar of this sentence incorrect ?,0
235,I know how much you ate.,Is the grammar of this sentence correct ?,1
236,I know how fast you ran.,Is the grammar of this sentence correct ?,1
237,I know how intelligent a dog you bought.,Is the grammar of this sentence correct ?,1
238,He ate so much that he got sick.,Is the grammar of this sentence correct ?,1
239,So much did he eat that he got sick.,Is the grammar of this sentence incorrect ?,0
240,"The more you eat, the more you want.",Is the grammar of this sentence correct ?,1
241,"You eat the more, the more you want.",Is the grammar of this sentence correct ?,0
242,"The more you eat, you want the more.",Is the grammar of this sentence correct ?,0
243,I wonder you ate how much.,Is the grammar of this sentence incorrect ?,1
244,I wonder to how many people Bill talks.,Is the grammar of this sentence incorrect ?,0
245,"The longer he has to wait, the angrier John gets.",Is the grammar of this sentence incorrect ?,0
246,"If he has to wait, John gets angry.",Is the grammar of this sentence incorrect ?,0
247,"He gets angry, the longer John has to wait.",Is the grammar of this sentence correct ?,0
248,He gets angry if John has to wait.,Is the grammar of this sentence incorrect ?,1
249,"The more that pictures of him appear in the news, the more embarrassed John becomes.",Is the grammar of this sentence incorrect ?,0
250,"The more pictures of himself that appear in the news, the more embarrassed John becomes.",Is the grammar of this sentence correct ?,1
251,"The more that pictures of himself appear in the news, the more embarrassed John becomes.",Is the grammar of this sentence correct ?,1
252,"The more pictures of him appear in the news, the more likely John is to get arrested.",Is the grammar of this sentence correct ?,1
253,"The more pictures of himself appear in the news, the more likely John is to get arrested.",Is the grammar of this sentence incorrect ?,1
254,"The more that pictures of him appear in the news, the more likely John is to get arrested.",Is the grammar of this sentence correct ?,1
255,"The more that pictures of himself appear in the news, the more likely John is to get arrested.",Is the grammar of this sentence incorrect ?,1
256,"The more that John gets upset by them, the more that stories about him seem to show up in the news.",Is the grammar of this sentence incorrect ?,0
257,"The more that John gets upset by them, the more that stories about himself seem to show up in the news.",Is the grammar of this sentence correct ?,0
258,"John is more embarrassed, the more pictures of him appear in the news.",Is the grammar of this sentence correct ?,1
259,"John is more embarrassed, the more pictures of him that appear in the news.",Is the grammar of this sentence incorrect ?,0
260,"John is more embarrassed, the more pictures of himself appear in the news.",Is the grammar of this sentence incorrect ?,0
261,"John is more embarrassed, the more pictures of himself that appear in the news.",Is the grammar of this sentence incorrect ?,0
262,"Stories about him seem to show up more on the evening news, the more that John gets upset by them.",Is the grammar of this sentence correct ?,1
263,"Stories about himself seem to show up more on the evening news, the more that John gets upset by them.",Is the grammar of this sentence incorrect ?,1
264,"If you give him enough opportunity, every senator will succumb to corruption.",Is the grammar of this sentence correct ?,1
265,You give him enough opportunity and every senator will succumb to corruption.,Is the grammar of this sentence incorrect ?,0
266,"We gave him enough opportunity and, sure enough, every senator succumbed to corruption.",Is the grammar of this sentence incorrect ?,1
267,"If you give any senator enough opportunity, he will succumb to corruption.",Is the grammar of this sentence incorrect ?,0
268,You give any senator enough opportunity and he will succumb to corruption.,Is the grammar of this sentence correct ?,1
269,You give every senator enough opportunity and he will succumb to corruption.,Is the grammar of this sentence incorrect ?,1
270,"We gave any senator enough opportunity and, sure enough, he succumbed to corruption.",Is the grammar of this sentence correct ?,0
271,"We gave every senator enough opportunity and, sure enough, he succumbed to corruption.",Is the grammar of this sentence correct ?,0
272,"The more lobbyists he talks to, the more corrupt every senator seems to become.",Is the grammar of this sentence incorrect ?,0
273,"The more lobbyists wine and dine him, the more every senator is susceptible to corruption.",Is the grammar of this sentence incorrect ?,0
274,"The more time that every senator spends with lobbyists, the more likely he succumbs to corruption.",Is the grammar of this sentence incorrect ?,1
275,"Every senator becomes more corrupt, the more lobbyists he talks to.",Is the grammar of this sentence correct ?,1
276,"Any senator becomes more corrupt, the more lobbyists he talks to.",Is the grammar of this sentence incorrect ?,0
277,"He seems to become more corrupt, the more lobbyists any senator talks to.",Is the grammar of this sentence incorrect ?,1
278,"He seems to become more corrupt, the more lobbyists every senator talks to.",Is the grammar of this sentence correct ?,0
279,"Every senator seems to become more corrupt, if he talks to more lobbyists.",Is the grammar of this sentence correct ?,1
280,"Any senator seems to become more corrupt, if he talks to more lobbyists.",Is the grammar of this sentence incorrect ?,0
281,"Any senator seems to become more corrupt, as he talks to more lobbyists.",Is the grammar of this sentence incorrect ?,0
282,"He seems to become more corrupt, if any senator talks to more lobbyists.",Is the grammar of this sentence incorrect ?,1
283,"He seems to become more corrupt, if every senator talks to more lobbyists.",Is the grammar of this sentence correct ?,0
284,"He seems to become more corrupt, as every senator talks to more lobbyists.",Is the grammar of this sentence incorrect ?,1
285,"He seems to become more corrupt, as any senator talks to more lobbyists.",Is the grammar of this sentence incorrect ?,1
286,"The sooner you solve this problem, the more easily you'll satisfy the folks up at corporate headquarters.",Is the grammar of this sentence incorrect ?,0
287,This is the sort of problem which the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.,Is the grammar of this sentence correct ?,1
288,"The folks up at corporate headquarters are the sort of people who the sooner you solve this problem, the more easily you'll satisfy.",Is the grammar of this sentence correct ?,1
289,"This problem, the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.",Is the grammar of this sentence incorrect ?,0
290,Who did you give pictures of to friends of?,Is the grammar of this sentence incorrect ?,0
291,It is this problem that the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.,Is the grammar of this sentence correct ?,1
292,"It is the folks up at corporate headquarters who the sooner you solve this problem, the more easily you'll satisfy.",Is the grammar of this sentence incorrect ?,1
293,"Which problem the sooner you solve, will the more easily you satisfy the folks up at corporate headquarters?",Is the grammar of this sentence correct ?,0
294,"Which problem does the sooner that you solve, the more easily you'll satisfy the folks up at corporate headquarters?",Is the grammar of this sentence incorrect ?,1
295,"Which problem the sooner that you solve, will the more easily you satisfy the folks up at corporate headquarters?",Is the grammar of this sentence correct ?,0
296,"The harder it rains, the faster who runs?",Is the grammar of this sentence correct ?,0
297,"The louder who talks, the angrier you get?",Is the grammar of this sentence incorrect ?,1
298,"The harder that it rains, how much faster a flow do you see in the river?",Is the grammar of this sentence incorrect ?,0
299,"They failed to tell me which problem the sooner I solve, the quicker the folks up at corporate headquarters.",Is the grammar of this sentence correct ?,1
300,"I finally worked up enough courage to ask which people up at corporate headquarters the sooner I solve this problem, the quicker I'll get free of.",Is the grammar of this sentence incorrect ?,1
301,"Which folks up at corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able to tell t to buzz off?",Is the grammar of this sentence incorrect ?,1
302,This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve.,Is the grammar of this sentence incorrect ?,1
303,This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve it.,Is the grammar of this sentence incorrect ?,0
304,This is a problem that you solve it and you'll be able to tell the folks up at corporate headquarters to buzz off.,Is the grammar of this sentence correct ?,0
305,Those are the folks that you just solve this problem and you'll be able to put them on ice.,Is the grammar of this sentence correct ?,0
306,"They failed to tell me which problem I'll beat the competition more easily, the sooner I solve.",Is the grammar of this sentence correct ?,0
307,"This is the problem that you'll beat the competition more easily, the sooner you solve.",Is the grammar of this sentence correct ?,0
308,John saw the man in the room.,Is the grammar of this sentence correct ?,1
309,Which room did John see the man in?,Is the grammar of this sentence correct ?,1
310,Who did John think that Bill claimed that Mary suspected that everybody liked?,Is the grammar of this sentence incorrect ?,0
311,John could not visit Sally.,Is the grammar of this sentence correct ?,1
312,What John could do is not visit Sally.,Is the grammar of this sentence correct ?,1
313,John couldn't visit Sally.,Is the grammar of this sentence incorrect ?,0
314,Why did John leave?,Is the grammar of this sentence incorrect ?,0
315,I hit the ball.,Is the grammar of this sentence correct ?,1
316,You hit the ball.,Is the grammar of this sentence correct ?,1
317,He hit the ball.,Is the grammar of this sentence correct ?,0
318,She hit the ball.,Is the grammar of this sentence correct ?,0
319,They hit the ball.,Is the grammar of this sentence correct ?,1
320,Am not I going?,Is the grammar of this sentence incorrect ?,1
321,I am not going.,Is the grammar of this sentence incorrect ?,0
322,Aren't I going?,Is the grammar of this sentence correct ?,1
323,I aren't going.,Is the grammar of this sentence correct ?,0
324,"Louise is unhappy, isn't she?",Is the grammar of this sentence incorrect ?,0
325,"Louise likes not being happy, doesn't she?",Is the grammar of this sentence correct ?,1
326,"Not many books survived the fire, did they?",Is the grammar of this sentence incorrect ?,0
327,"No books survived the fire, did they?",Is the grammar of this sentence incorrect ?,0
328,"He hasn't often paid taxes, has he?",Is the grammar of this sentence correct ?,1
329,"He can't pay taxes, can he?",Is the grammar of this sentence incorrect ?,0
330,She does not see him.,Is the grammar of this sentence correct ?,1
331,She kept not seeing him.,Is the grammar of this sentence correct ?,1
332,She could not have been working.,Is the grammar of this sentence correct ?,1
333,Marianne not left.,Is the grammar of this sentence correct ?,0
334,Marianne left not.,Is the grammar of this sentence incorrect ?,1
335,He could not have been working.,Is the grammar of this sentence incorrect ?,0
336,He cannot have been working.,Is the grammar of this sentence correct ?,1
337,He can simply not have been working.,Is the grammar of this sentence incorrect ?,0
338,You must not simply not work.,Is the grammar of this sentence correct ?,1
339,He may not just not have been working.,Is the grammar of this sentence correct ?,1
340,He can't have been working.,Is the grammar of this sentence incorrect ?,0
341,Can't he have been working?,Is the grammar of this sentence correct ?,1
342,Can he not have been working?,Is the grammar of this sentence incorrect ?,0
343,Can he not have been working?,Is the grammar of this sentence correct ?,0
344,John wrote books.,Is the grammar of this sentence correct ?,1
345,John write books.,Is the grammar of this sentence incorrect ?,1
346,John wrote books.,Is the grammar of this sentence correct ?,0
347,John did not write books.,Is the grammar of this sentence correct ?,1
348,John seems that is nice.,Is the grammar of this sentence incorrect ?,1
349,"`` I am so happy '', thought John.",Is the grammar of this sentence correct ?,1
