,label,context
140,0,"It is important for the more you eat, the more careful to be."
141,0,"It is important the more you to eat, the more careful to be."
142,0,"It is important the more you eat, the more careful you to be."
143,0,"It is important the more you eat, the more careful for you to be."
144,0,"It is important for the more you to eat, the more careful to be."
145,0,"It is important for the more you to eat, the more careful for you to be."
146,0,"It is important the more you to eat, the more careful for you to be."
147,0,"It is important for the more you eat, the more careful you to be."
148,1,"It is important for you to be more careful, the more you eat."
149,1,"It is important to be more careful, the more you eat."
150,0,I can well imagine quickly Mary answering the question.
151,0,I can well imagine with a hatchet Mary destroying the Jeep.
152,0,"I can well imagine if he eats more, him getting fat."
153,0,"It is not entirely obvious if, Mary listens to the Grateful Dead, she gets depressed."
154,0,"It is not entirely obvious whether, Mary listens to the Grateful Dead, she gets depressed."
155,1,Mary listens to the Grateful Dead and she gets depressed.
156,1,"If Mary listens to the Grateful Dead, she gets depressed."
157,1,"When Mary listens to the Grateful Dead, she gets depressed."
158,1,Mary gets depressed if she listens to the Grateful Dead.
159,1,Mary gets depressed when she listens to the Grateful Dead.
160,1,"The more she looked at pictures, the angrier Mary got."
161,0,"The more pictures Mary looked at, she got angrier and angrier."
162,1,Mary gets depressed and she listens to the Grateful Dead.
163,1,"The higher the stakes are, the lower his expectations are."
164,1,"The higher the stakes, the lower his expectations."
165,1,"His expectations are lower, the higher the stakes."
166,1,"His expectations are lower, the higher the stakes are."
167,0,"His expectations lower, the higher the stakes."
168,0,"His expectations lower, the higher the stakes are."
169,1,"The more obnoxious Fred is, the less attention you should pay to him."
170,0,"The more obnoxious Fred, the less attention you should pay to him."
171,1,"The more Fred is obnoxious, the less you should pay attention to him."
172,0,"The more obnoxious Fred, the less you should pay attention to him."
173,1,His expectations are always lower than mine.
174,1,John was lots more obnoxious than Fred was.
175,1,"You should always lock your door, no matter how fancy the hotel might be."
176,1,"You should always lock your door, no matter how fancy the hotel."
177,1,"I don't plan to lock the door, no matter how fancy this hotel is."
178,0,"I don't plan to lock the door, no matter how fancy this hotel."
179,1,"I'm going out, whatever the weather."
180,1,"I'm going out, wherever that hurricane might be."
181,0,"I'm going out, wherever that hurricane."
182,1,The more examples Mary says that Bill has helped Fred to discover the less I believe her.
183,0,The more food Mary knows a man that eats the poorer she gets.
184,0,The fatter he goes to a doctor when he gets the more he eats.
185,0,"The fatter that that he gets bothers him, the more he eats."
186,0,"The more books I ask to whom he will give, the more he reads."
187,0,The more people I ask what he will give to the more he reads.
188,1,The more carefully he words the letter the safer he'll be.
189,0,The more carefully he knows a man that worded the letter the safer he'll be.
190,1,"The more geniuses John meets, the angrier he gets."
191,0,"The more John meets geniuses, the angrier he gets."
192,1,"The more people you say will buy tickets, the happier I'll be."
193,0,"The more people you say that will buy tickets, the happier I'll be."
194,1,"The more people you say that right after the show opens will buy tickets, the happier I'll be."
195,1,"The more I talk to Joe, the less about linguistics I am inclined to think Sally has taught him to appreciate."
196,0,"The more he eats, the poorer he knows a woman that gets."
197,0,"The more he eats, the fatter he goes to a doctor when he gets."
198,0,"The more he eats, the fatter that that he gets really bothers me."
199,0,"The more he reads, the more books I wonder to whom he will give."
200,0,"The more he reads, the more people I wonder what he will give to."
201,0,"The sooner you call, the more carefully I know a man that will word the letter."
202,1,"The richer John gets, the more geniuses John meets."
203,0,"The richer he gets, the more John meets geniuses."
204,1,"The more articles he reads, the fewer people he thinks will go into linguistics."
205,0,"The more articles he reads, the fewer people he thinks that will go into linguistics."
206,1,"The more articles he reads, the fewer people he thinks that under the current circumstances will go into linguistics."
207,1,"The more articles he reads, the fewer people he thinks under the current circumstances will go into linguistics."
208,1,"The more people that arrive, the louder that it gets."
209,1,"The more people that arrive, the louder it gets."
210,1,"The more people you give beer to, the more people that get sick."
211,1,"The more people that you give beer to, the more people that get sick."
212,1,"The more people arrive, the louder that it gets."
213,1,"The more people arrive, the louder it gets."
214,1,"The more people that you give beer to, the more people get sick."
215,0,The more pictures of John that he buys the more arrogant he becomes.
216,1,The more pictures of himself that John buys the more arrogant he becomes.
217,1,The man that arrived on the train was my brother.
218,0,The man arrived on the train was my brother.
219,0,"The more people everyone who likes pays attention to, the happier we all are."
220,0,"The later it gets, the more people everyone who likes pays attention to."
221,1,"Whenever Bill smokes, Susan hates him all the more."
222,1,"Whenever Bill smokes, Susan hates him much more."
223,1,"Whenever Bill smokes, Susan hates him far more."
224,1,"Whenever Bill smokes, Susan hates him a lot more."
225,1,"Once Janet left, Fred became all the crazier."
226,1,"Once Janet left, Fred became much crazier."
227,1,"Once Janet left, Fred became far crazier."
228,1,"Fred became all the crazier, the more often Janet left."
229,1,"When Bill smokes, all the more does Susan hate him."
230,0,"When Bill smokes, much more does Susan hate him."
231,0,"When Bill smokes, all the more Susan hates him."
232,1,So much did you eat that everyone gasped.
233,1,So fast did you run that everyone gasped.
234,1,So intelligent a dog did you buy that everyone gasped.
235,1,I know how much you ate.
236,1,I know how fast you ran.
237,1,I know how intelligent a dog you bought.
238,1,He ate so much that he got sick.
239,1,So much did he eat that he got sick.
240,1,"The more you eat, the more you want."
241,0,"You eat the more, the more you want."
242,0,"The more you eat, you want the more."
243,0,I wonder you ate how much.
244,1,I wonder to how many people Bill talks.
245,1,"The longer he has to wait, the angrier John gets."
246,1,"If he has to wait, John gets angry."
247,0,"He gets angry, the longer John has to wait."
248,0,He gets angry if John has to wait.
249,1,"The more that pictures of him appear in the news, the more embarrassed John becomes."
250,1,"The more pictures of himself that appear in the news, the more embarrassed John becomes."
251,1,"The more that pictures of himself appear in the news, the more embarrassed John becomes."
252,1,"The more pictures of him appear in the news, the more likely John is to get arrested."
253,0,"The more pictures of himself appear in the news, the more likely John is to get arrested."
254,1,"The more that pictures of him appear in the news, the more likely John is to get arrested."
255,0,"The more that pictures of himself appear in the news, the more likely John is to get arrested."
256,1,"The more that John gets upset by them, the more that stories about him seem to show up in the news."
257,0,"The more that John gets upset by them, the more that stories about himself seem to show up in the news."
258,1,"John is more embarrassed, the more pictures of him appear in the news."
259,1,"John is more embarrassed, the more pictures of him that appear in the news."
260,1,"John is more embarrassed, the more pictures of himself appear in the news."
261,1,"John is more embarrassed, the more pictures of himself that appear in the news."
262,1,"Stories about him seem to show up more on the evening news, the more that John gets upset by them."
263,0,"Stories about himself seem to show up more on the evening news, the more that John gets upset by them."
264,1,"If you give him enough opportunity, every senator will succumb to corruption."
265,1,You give him enough opportunity and every senator will succumb to corruption.
266,0,"We gave him enough opportunity and, sure enough, every senator succumbed to corruption."
267,1,"If you give any senator enough opportunity, he will succumb to corruption."
268,1,You give any senator enough opportunity and he will succumb to corruption.
269,0,You give every senator enough opportunity and he will succumb to corruption.
270,0,"We gave any senator enough opportunity and, sure enough, he succumbed to corruption."
271,0,"We gave every senator enough opportunity and, sure enough, he succumbed to corruption."
272,1,"The more lobbyists he talks to, the more corrupt every senator seems to become."
273,1,"The more lobbyists wine and dine him, the more every senator is susceptible to corruption."
274,0,"The more time that every senator spends with lobbyists, the more likely he succumbs to corruption."
275,1,"Every senator becomes more corrupt, the more lobbyists he talks to."
276,1,"Any senator becomes more corrupt, the more lobbyists he talks to."
277,0,"He seems to become more corrupt, the more lobbyists any senator talks to."
278,0,"He seems to become more corrupt, the more lobbyists every senator talks to."
279,1,"Every senator seems to become more corrupt, if he talks to more lobbyists."
280,1,"Any senator seems to become more corrupt, if he talks to more lobbyists."
281,1,"Any senator seems to become more corrupt, as he talks to more lobbyists."
282,0,"He seems to become more corrupt, if any senator talks to more lobbyists."
283,0,"He seems to become more corrupt, if every senator talks to more lobbyists."
284,0,"He seems to become more corrupt, as every senator talks to more lobbyists."
285,0,"He seems to become more corrupt, as any senator talks to more lobbyists."
286,1,"The sooner you solve this problem, the more easily you'll satisfy the folks up at corporate headquarters."
287,1,This is the sort of problem which the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.
288,1,"The folks up at corporate headquarters are the sort of people who the sooner you solve this problem, the more easily you'll satisfy."
289,1,"This problem, the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters."
290,1,Who did you give pictures of to friends of?
291,1,It is this problem that the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.
292,0,"It is the folks up at corporate headquarters who the sooner you solve this problem, the more easily you'll satisfy."
293,0,"Which problem the sooner you solve, will the more easily you satisfy the folks up at corporate headquarters?"
294,0,"Which problem does the sooner that you solve, the more easily you'll satisfy the folks up at corporate headquarters?"
295,0,"Which problem the sooner that you solve, will the more easily you satisfy the folks up at corporate headquarters?"
296,0,"The harder it rains, the faster who runs?"
297,0,"The louder who talks, the angrier you get?"
298,1,"The harder that it rains, how much faster a flow do you see in the river?"
299,1,"They failed to tell me which problem the sooner I solve, the quicker the folks up at corporate headquarters."
300,0,"I finally worked up enough courage to ask which people up at corporate headquarters the sooner I solve this problem, the quicker I'll get free of."
301,0,"Which folks up at corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able to tell t to buzz off?"
302,0,This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve.
303,1,This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve it.
304,0,This is a problem that you solve it and you'll be able to tell the folks up at corporate headquarters to buzz off.
305,0,Those are the folks that you just solve this problem and you'll be able to put them on ice.
306,0,"They failed to tell me which problem I'll beat the competition more easily, the sooner I solve."
307,0,"This is the problem that you'll beat the competition more easily, the sooner you solve."
308,1,John saw the man in the room.
309,1,Which room did John see the man in?
310,1,Who did John think that Bill claimed that Mary suspected that everybody liked?
311,1,John could not visit Sally.
312,1,What John could do is not visit Sally.
313,1,John couldn't visit Sally.
314,1,Why did John leave?
315,1,I hit the ball.
316,1,You hit the ball.
317,0,He hit the ball.
318,0,She hit the ball.
319,1,They hit the ball.
320,0,Am not I going?
321,1,I am not going.
322,1,Aren't I going?
323,0,I aren't going.
324,1,"Louise is unhappy, isn't she?"
325,1,"Louise likes not being happy, doesn't she?"
326,1,"Not many books survived the fire, did they?"
327,1,"No books survived the fire, did they?"
328,1,"He hasn't often paid taxes, has he?"
329,1,"He can't pay taxes, can he?"
330,1,She does not see him.
331,1,She kept not seeing him.
332,1,She could not have been working.
333,0,Marianne not left.
334,0,Marianne left not.
335,1,He could not have been working.
336,1,He cannot have been working.
337,1,He can simply not have been working.
338,1,You must not simply not work.
339,1,He may not just not have been working.
340,1,He can't have been working.
341,1,Can't he have been working?
342,1,Can he not have been working?
343,0,Can he not have been working?
344,1,John wrote books.
345,0,John write books.
346,0,John wrote books.
347,1,John did not write books.
348,0,John seems that is nice.
349,1,"`` I am so happy '', thought John."
350,1,down the hill rolled John.
351,0,John kisses often Mary.
352,1,John often kisses Mary.
353,1,Who do you think Mary said John likes?
354,0,Who did you ask whether Mary knows why John likes?
355,1,Who do you think that Mary said that John likes?
356,0,How do you wonder whether Mary solved the problem?
357,1,How do you think that Mary solved the problem?
358,0,How do you wonder whether John said that Mary solved the problem?
359,0,How do you wonder whether John said Mary solved the problem?
360,0,Which problem do you wonder whether John said that Mary solved?
361,1,How did you think that Mary solved the problem?
362,1,Mary hired someone.
363,1,I heard that Mary hired someone.
364,1,I resigned because Mary hired someone.
365,1,Mary wondered which picture of himself Bill saw?
366,1,Which picture of himself does Mary think that John said that Susan likes?
367,0,Mary thinks that John said that Susan likes pictures of himself?
368,1,"Mary thinks that John said that pictures of himself, Susan likes?"
369,1,"If you don't believe me, you will the weatherman?"
370,1,"I rolled up a newspaper, and Lynn did a magazine?"
371,1,"Kathy likes astronomy, but she doesn't meteorology?"
372,1,The DA proved Jones guilty and the Assistant DA will prove Smith.
373,1,"Mary will believe Susan, and you will Bob."
374,1,You might not believe me but you will Bob.
375,0,You will Bob believe.
376,1,How did you solve the problem?
377,1,I wonder who could solve the problem in this way.
378,0,How do you wonder who could solve this problem.
379,1,No candidate can predict how many people will vote for him.
380,1,Every politician is worried when the press starts attacking him.
381,1,Which politician appointed the journalist who supported him?
382,0,The fact that no candidate was elected shows that he was inadequate.
383,1,"John sells books, Mary buys records and Bill V newspapers."
384,1,The question of whether John met Mary worries the people who support.
385,1,They have left.
386,1,Have they left?
387,1,Could they have left?
388,1,He has often seen Mary.
389,1,He I often sees Mary.
390,0,He sees often Mary.
391,0,Sees he I often Mary?
392,1,It seems that it is likely that John will win.
393,1,It seems that John is likely to win.
394,1,John seems to be likely to win.
395,0,John seems that it is likely to win.
396,0,John seems will win.
397,0,How do you wonder which problem to solve?
398,1,How intelligent do you consider John?
399,0,How many people do you wonder whether I consider intelligent?
400,0,How intelligent do you wonder whether I consider John?
401,0,What the hell do you wonder how to say?
402,1,He has left.
403,1,His book is nice.
404,1,Bill saw him.
405,1,Bill works with him.
406,1,John believes him to be a nice guy.
407,1,John considers him a nice guy.
408,1,For him to do that would be a mistake.
409,1,"With him sick, the team is in trouble."
410,0,A man to be in the garden is unlikely.
411,0,A man to come is unlikely.
412,0,John to call would be unlikely.
413,0,This conclusion to be arrived at is surprising.
414,1,John believes that he is sick.
415,0,John believes that him is sick.
416,0,John tries him to win.
417,0,John wonders where him to go.
418,1,Who do you think that Bill likes?
419,1,Who do you think that Bill believes to be innocent?
420,0,Who do you think that believes John to be innocent?
421,0,Who would you prefer for to win the race?
422,1,Someone stole my car.
423,1,My car was stolen.
424,0,The children eat all chocolate.
425,1,John has often kissed Mary.
426,1,The kids have all eaten the chocolate.
427,1,"In general, he understands what's going on."
428,1,It's probable that in general he understands what's going on.
429,0,It's probable in general that he understands what's going on.
430,0,In general that he understands what's going on is surprising.
431,1,I explained how to fix the sink.
432,1,I explained how we should fix the sink.
433,1,I explained that we should fix the sink.
434,0,I explained to fix the sink.
435,1,Mickey looked up the reference.
436,1,Mickey looked the reference up.
437,1,Mickey looked up them.
438,1,Mickey teamed up with the women.
439,0,Mickey teamed with the women up.
440,1,Mickey pointed out that Gary had left.
441,0,Mickey pointed that Gary had left out.
442,1,Mickey slips up all the time.
443,0,Mickey slips all the time up.
444,1,What does John think Mary bought?
445,0,John thinks what Mary bought.
446,1,John wonders what Mary bought.
447,0,What does John wonder Mary bought?
448,0,Who is he reading a book that criticizes?
449,0,What do you remember where we bought?
450,1,Who bought what?
451,1,Who is reading a book that criticizes who?
452,1,Who remembers where we bought what?
453,0,I wonder who what bought?
454,0,I wonder what who bought?
455,1,There aren't many linguistics students here.
456,1,I haven't met many linguistics students.
457,1,What does every student buy?
458,1,I need Sally to be there.
459,0,The boat sank to collect the insurance.
460,1,The boat was sunk to collect the insurance.
461,1,John wants to win.
462,1,The bed was unmade.
463,0,Headway was unmade.
464,1,John was unknown.
465,0,John was unknown to be the murderer.
466,1,We knew John to be the murderer.
467,1,He fed the children.
468,1,The children were uneducated.
469,1,The children were undisciplined.
470,1,I believed these students all to like John.
471,1,They tried to all like John.
472,1,I believed these students to all like John.
473,0,Did he try ever to talk to the student?
474,1,Did you believe him ever to have made an effort to talk to the student?
475,1,Did he try to ever be attentive to the needs of students?
476,1,Did you believe him to ever have made an effort to talk to the student?
477,1,work out an analysis that is typical of this view of understood subjects.
478,1,They were believed all to be quite diligent.
479,1,Was he believed ever to fail students?
480,1,There is tending to be more and more discussion of these issues.
481,1,John seemed to be a great linguist.
482,1,There promises to be a storm tonight.
483,1,John strived to be successful.
484,1,John wanted to improve his lot in life.
485,1,John expected to win.
486,1,This book is too dense to be read in one sitting.
487,0,There is too likely to be a riot to be a serious discussion of the issues.
488,1,John tried.
489,1,John remembered.
490,1,John is refused.
491,1,John forgot.
492,0,"Bill seems to be obnoxious, but I don't think that Sam happens."
493,0,"Bill seems to be obnoxious, but I don't think that Sam turns out."
494,0,"Bill seems to be obnoxious, but I don't think that Sam tends."
495,0,They tried all to like John.
496,1,They seemed all to like John.
497,1,John believes Sally to be polite.
498,1,I believe John with all my heart to be a fine person.
499,0,John is wanted to win.
500,0,John would be liked to win.
501,1,We would like John to win.
502,0,John would be hated to win.
503,0,John would be preferred to be the candidate.
504,1,We would prefer John to be the candidate.
505,1,I would like for John to win.
506,1,I would hate for John to win.
507,1,I would prefer for John to be the candidate.
508,1,John destroyed the house.
509,1,The electrode emitted ions into the medium.
510,1,Ions struck the electrode.
511,1,The medium contains ions.
512,0,The house destroyed John.
513,1,Ions left the electrode.
514,0,The electrode was left by ions.
515,1,The electrode was struck by ions.
516,1,The ball lies in the box.
517,1,The ball rolled from the bush to the tree.
518,1,The box contains the ball.
519,1,The tree dropped fruit to the ground.
520,1,Fruit hit the ground from the tree.
521,1,The stone knocked against the pole into the road.
522,1,The stone knocked the pole into the road.
523,1,The box contained the ball.
524,0,The box gradually contained the ball.
525,0,The box at once contained the ball.
526,0,The box contained the ball to the ground.
527,1,The tree gradually dropped its fruit to the ground.
528,1,The tree dropped its fruit to the ground.
529,1,Fruit hit the roof.
530,1,Fruit hit the roof from the tree.
531,1,Fruit at once hit the roof from the tree.
532,0,Fruit hit the roof against the ground.
533,0,Fruit at once hit the roof against the ground.
534,1,Fruit dropped from the tree.
535,0,Fruit dropped from the tree from the clouds.
536,0,Fruit fell against the house.
537,0,Fruit fell against the house against the ground.
538,1,The tree changed into an oak.
539,1,The tree changed from a maple into an oak.
540,0,The maple changed into an oak from a cedar.
541,1,The maple changed into an oak from a cedar.
542,1,The maple changed into an oak.
543,1,The oak developed out of a maple.
544,1,The train reached the station.
545,1,The branches knocked against the wall.
546,1,The child became a man.
547,1,The party lasted till midnight.
548,1,The dog went crazy.
549,1,It struck John that it was so.
550,1,It came to John that it was so.
551,1,The snake saw into the nest.
552,1,Hard work resulted in high grades.
553,1,The farm passed to John.
554,1,John is touching the wall.
555,1,The wall is being touched by John.
556,1,A bear occupies the cave.
557,1,A bear inhabits the cave.
558,1,Water fills the tub.
559,1,The electric main joins the house circuit in the basement.
560,1,The house circuit is joined by the electric main in the basement.
561,1,The fence straddles the sidewalk.
562,1,The sidewalk is straddled by the fence.
563,1,The man with a book.
564,1,Gas escaped the tube.
565,1,The terrorist escaped the prison cell.
566,1,The prison cell was escaped by the terrorist.
567,1,The rolling stone avoided the river.
568,1,The river was avoided by the rolling stone.
569,1,The agents caught the terrorist.
570,1,The sponge soaked up the water.
571,1,The tub filled with water.
572,1,John received a book.
573,1,John learned a lesson.
574,1,The parcel reached John.
575,1,John received the parcel.
576,1,The farm finally got to John after much litigation.
577,0,The farm finally reached John after much litigation.
578,1,Water filled the cup high.
579,1,Water filled the cup.
580,0,Water emptied the cup.
581,0,The cup filled the water high.
582,0,The cup filled of water.
583,1,The cup filled with water.
584,0,The cup emptied with water.
585,1,the barge piled high with logs.
586,0,the road blocked with a stone.
587,0,the branch dropped bare of its apple.
588,0,the logs piled the barge high.
589,1,a stone blocked the road.
590,0,the bottle drained the liquid free.
591,1,the branch dropped its apple free.
592,1,Some branches broke off of the tree.
593,0,The tree broke off some branches.
594,1,The tree dropped some branches.
595,1,The tree lost some branches.
596,1,Water bubbled out of the kettle.
597,0,The kettle bubbled water up.
598,1,The kettle bubbled water.
599,0,The cup filled water.
600,0,The stone knocked the pole into the road.
601,1,The tub leaked empty of water.
602,0,The stone knocked against the pole into the road.
603,1,Hail stones broke the window.
604,1,The force of the wind broke the window.
605,0,The window broke from hail stones.
606,1,The window broke from the force of the wind.
607,1,What the force of the wind did to the window was break it.
608,1,John hit the stone against the wall.
609,1,John hit the wall with the stone.
610,1,John tapped some wine from a barrel.
611,1,John tapped a barrel of some wine.
612,1,John laid the book on the table.
613,1,John included his name in the list.
614,1,John loaded the bricks onto the truck.
615,1,John loaded the truck with bricks.
616,1,John fed rice to the baby.
617,1,John fed the baby rice.
618,1,John fed the baby up with rice.
619,0,John fed the baby rice up.
620,1,The ball lies completely in the box.
621,1,The box completely contains the ball.
622,1,The train got to the station fully.
623,1,The train reached the station fully.
624,1,Press the stamp against the pad completely.
625,1,Press the pad with the stamp completely.
626,1,Spray the paint onto the wall completely.
627,1,Spray all the paint onto the wall completely.
628,0,Spray the wall with all the paint.
629,1,Spray the whole wall with the paint.
630,1,What John did to the wall was paint it.
631,1,What John did to the whole wall was paint it.
632,1,What John did to the wall was hit it.
633,0,What the stone did to the wall was hit it.
634,0,What the stone did to the whole wall was hit it.
635,1,John took Bill to be a fool.
636,0,John concluded Bill to be a fool.
637,1,Give the bottle to the baby full.
638,0,Give the bottle to the baby awake.
639,1,Give the baby the bottle full.
640,0,Give the baby the bottle awake.
641,1,Rub the cloth on the baby torn.
642,0,Rub the cloth on the baby asleep.
643,1,Rub the baby with the cloth torn.
644,0,Rub the baby with the cloth asleep.
645,1,Dry the baby with the cloth asleep.
646,0,Dry the baby with the cloth torn.
647,0,The cup knocked the stone apart.
648,1,The stone knocked the cup apart.
649,1,The cup smashed apart against the stone.
650,1,The stone smashed the cup apart.
651,1,The tank filled with petrol out of the pump.
652,1,The cup emptied of water onto the ground.
653,1,John included her name in the list.
654,1,John rolled the ball from the tree to the bush.
655,1,John tapped the bottle of some water.
656,1,John gave Bill the book.
657,1,John got the book from Bill.
658,0,John gave Bill of the book.
659,1,We have someone in the living room.
660,1,John is very fond of Mary.
661,1,Mary laughed at John.
662,1,The ship sank beneath the waves.
663,1,Mary considers John a fool and Bill a wimp.
664,1,John regards professors as strange and politicians as creepy.
665,1,Sue put the books on the table and the records on the chair.
666,1,Harriet gave a mug to John and a scarf to Vivien.
667,1,I expect John to win and Harry to lose.
668,1,You eat the fish raw and the beef cooked.
669,1,They told Sue who to talk to and Virginia when to leave.
670,1,"Smith loaned, and his widow later donated, a valuable collection of manuscripts to the library."
671,1,"Sue moved, and Mary also transferred, her business to a different location."
672,1,"I succeeded in convincing, even though John had failed to persuade, Mary not to leave."
673,1,"We didn't particularly like, but nevertheless ate, the fish raw."
674,1,"Flo desperately wants, though she doesn't really expect, the Miami Dolphins to be in the play-offs."
675,1,John learned French perfectly.
676,1,Bill recited his lines poorly.
677,1,Mary plays the violin beautifully.
678,0,John perfectly learned French.
679,0,Bill poorly recited his lines.
680,1,John learned French immediately.
681,1,Bill recited his lines slowly.
682,1,Mary will play the violin soon.
683,1,John immediately learned French.
684,1,Bill slowly recited his lines.
685,1,Mary will soon play the violin.
686,1,John immediately learned French perfectly.
687,1,John learned French perfectly almost immediately.
688,1,John learned French perfectly immediately.
689,0,John perfectly learned French immediately.
690,0,John learned French immediately perfectly.
691,0,"Clearly, John immediately will probably learn French perfectly."
